Long name	ID (label in the relationships sheet)	Type of node	LASER Alliance	Notes	6 LASER PILLARS	OPERATIONS (OPS)	PATHWAYS (PTW)	COMMUNITY AND ADMINISTRATOR SUPPORT (CAS)	ASSESSMENT (AST)	CURRICULUM (CUR)	INSTRUCTIONAL MATERIALS SUPPORT (IMS)
Leadership -- elementary science leadership network  for TOSA, Curric Dir, Teachers	1-101-K5DL-Le	CUR	NELA		CUR						
PD -- for instructional materials implementation  for elementary teachers	1-101-K5T-imp	CUR	NELA		CUR						
Instructional Materials Foundational Training	1-105-K5TL-IM	CUR	SCLA		CUR						
ESD 105 STEM Leadership Team	1-105-leadership	OPS	SCLA								
Support for implementing career pathways 	1-112-????-CaPa	OPS	SWLA		OPS						
Collaboration on regional leadership for strategic planning	1-112-DL-SP	OPS	SWLA		OPS						
Direct facilitation of strategic plan development 	1-112-DL-SP	OPS	SWLA		OPS						
Development of K-2 Science curriculum districtwide	1-113-K2C-LS	CUR	MTHLA		CUR						
Teacher PD- 6th grade teachers 	1-114-6T-PD	CUR	OLA		CUR						
Leadership Support - Science Fellows HS	1-114-HSTL-LS	OPS	OLA		OPS						
ClimeTime- Growing Elementary Science K-5 	1-114-K5T-CT	CUR	OLA		CUR						
IM Foundational Professional Learning K-5	1-114-K5T-IMF	CUR	OLA		CUR						
Leadership Support - Science Fellows K-5	1-114-K5TL-LS	OPS	OLA		OPS						
Leadership Support - Science Fellows K-8	1-114-K8TL-LS	OPS	OLA		OPS						
IM OpenSciEd Pilot Project MS	1-114-MST-OSEPD	CUR	OLA		CUR						
leadership development for science coaches --  Puget Sound, K-12	1-121-C-LD	CAS	NSLA and SSLA	include book study, assessement workshops, resources	CAS						
strategic planning with district leaders -- NSLA+SSLA	1-121-DL-SP	CAS	NSLA and SSLA		CAS						
professional development for K-12 science teachers	1-121-K12T-PD	CAS	NSLA and SSLA		CAS						
leadership development for K-12 teacher leaders	1-121-K12TL-LD	CAS	NSLA and SSLA		CAS						
leadership board	1-123-C-LB	OPS	SELA		OPS						
CTE/science cross-credit frameworks	1-171-CTE	OPS	NCLA								
strategic planning with district leaders - NC-LASER	1-171-DL-SP	PTW	NCLA	course pathways 	PTW						
Computer Science Integration into Science and STEM for K-12 educators	1-171-K12Ts-CS	CUR	NCLA		CUR						
leadership development for K-12 educators	1-171-K12T-LD	CUR	NCLA	strategic plan	CUR						
Provide support and PD for NGSS Aligned Curriculum Adoption	1-189-???-CA	CUR	NWLA		CUR						
Teachers in Science Fellows	1-189-??TL-LS	CUR	NWLA		CUR						
NextGen Time	2-all-varies-NGT	CUR	all		CUR				 		
Book Study	2-all-LA-book	CUR	all		CUR						
Aberdeen	Aberdeen	SD	MTHLA								
Adna	Adna	SD	MTHLA								
Communication --LASER advocacy  for OpEd for WashSTEM	all-101-advocacy	advocacy	NELA								
Communication --LASER advocacy  for OpEd for WashSTEM	all-112-advocacy	advocacy	SWLA								
continued advising on theory of action, vision and goals	all-all-LASER-adv	NA	na								
leadership opportunities for LASER leaders in national events	all-all-LASER-lo	NA	na								
Communication --LASER advocacy  for OpEd for WashSTEM	all-NSLA-advocacy	advocacy	NSLA and SSLA								
Almira	Almira	SD	NELA								
Anacortes	Anacortes	SD	NWLA								
Apple STEM Network	Apple	partner	na								
Arlington	Arlington	SD	NWLA								
Asotin-Anatone	Asotin-Anatone	SD	SELA								
Bainbridge Island 	Bainbridge Island	SD	NSLA and SSLA								
Battle Ground	Battle Ground	SD	SWLA								
Bellevue	Bellevue	SD	NSLA and SSLA								
Bellingham	Bellingham	SD	NWLA								
Benge	Benge	SD	NELA								
Terry Bergeson	Bergeson	partner	all								
Bethel	Bethel	SD	NSLA and SSLA								
Bickleton	Bickleton	SD	SCLA								
Blaine	Blaine	SD	NWLA								
Boistfort	Boistfort	SD	MTHLA								
Bremerton	Bremerton	SD	OLA								
Brewster	Brewster	SD	NCLA								
Bridgeport	Bridgeport	SD	NCLA								
Brinnon	Brinnon	SD	OLA								
Burlington-Edison	Burlington-Edison	SD	NWLA								
Camas	Camas	SD	SWLA								
Cape Flattery	Cape Flattery	SD	OLA								
Carbonado	Carbonado	SD	NSLA and SSLA								
CareerConnectSW STEM Network	CareerConnectSW	partner	na								
Cascade	Cascade	SD	NCLA								
Cashmere	Cashmere	SD	NCLA								
Castle Rock	Castle Rock	SD	SWLA								
Centerville	Centerville	SD	SWLA								
Central Kitsap	Central Kitsap	SD	OLA								
Central Valley	Central Valley	SD	NELA								
Centralia	Centralia	SD	MTHLA								
Chehalis	Chehalis	SD	MTHLA								
Cheney	Cheney	SD	NELA								
Chewelah	Chewelah	SD	NELA								
Chimacum	Chimacum	SD	OLA								
Clarkston	Clarkston	SD	SELA								
Cle Elum-Roslyn	Cle Elum-Roslyn	SD	SCLA								
Clover Park	Clover Park	SD	NSLA and SSLA								
Colfax	Colfax	SD	NELA								
College Place	College Place	SD	SELA								
Colton	Colton	SD	NELA								
Columbia (Stevens)	Columbia (Stevens)	SD	NELA								
Columbia (Walla Walla)	Columbia (Walla Walla)	SD	SELA								
Colville	Colville	SD	NELA								
Concrete	Concrete	SD	NWLA								
Conway	Conway	SD	NWLA								
Cosmopolis	Cosmopolis	SD	MTHLA								
Coulee-Hartline	Coulee-Hartline	SD	NCLA								
Coupeville	Coupeville	SD	NWLA								
Crescent	Crescent	SD	OLA								
Creston	Creston	SD	NELA								
Curlew	Curlew	SD	NELA								
Cusick	Cusick	SD	NELA								
Damman	Damman	SD	SCLA								
Darrington	Darrington	SD	NWLA								
Davenport	Davenport	SD	NELA								
Dayton	Dayton	SD	SELA								
Deer Park	Deer Park	SD	NELA								
Dieringer	Dieringer	SD	NSLA and SSLA								
Dixie	Dixie	SD	SELA								
